# [version.syn] header ownership, one line per macro: <macro>|<header>[,<header>...]
# The headers named after "also in" in each #define line, <version> excluded --
# every macro is in <version> by definition. Transcribed from eel.is/c++draft/
# version.syn; the C++23 baseline (N4950) agrees on every entry boxcxx defines.
# tools/cxx_ftm_audit.sh checks the tree against this file.
#
# The header list is the one belonging to the VALUE boxcxx defines, not the
# newest one in the draft. __cpp_lib_apply gained <type_traits> and <meta> with
# its C++26 value 202603L; boxcxx defines the C++23 201603L, whose only owner
# is <tuple>, so that is what this file records.
__cpp_lib_adaptor_iterator_pair_constructor|stack,queue
__cpp_lib_constant_wrapper|utility
__cpp_lib_constexpr_algorithms|algorithm,utility
__cpp_lib_constexpr_bitset|bitset
__cpp_lib_constexpr_charconv|charconv
__cpp_lib_constexpr_cmath|cmath,cstdlib
__cpp_lib_constexpr_complex|complex
__cpp_lib_constexpr_dynamic_alloc|memory
__cpp_lib_constexpr_functional|functional
__cpp_lib_constexpr_iterator|iterator
__cpp_lib_constexpr_memory|memory
__cpp_lib_constexpr_numeric|numeric
__cpp_lib_constexpr_string|string
__cpp_lib_constexpr_string_view|string_view
__cpp_lib_constexpr_tuple|tuple
__cpp_lib_constexpr_typeinfo|typeinfo
__cpp_lib_constexpr_utility|utility
__cpp_lib_constexpr_vector|vector
__cpp_lib_constrained_equality|utility,tuple,optional,variant,expected
__cpp_lib_containers_ranges|vector,list,forward_list,map,set,unordered_map,unordered_set,deque,queue,stack,string
__cpp_lib_copyable_function|functional
__cpp_lib_coroutine|coroutine
__cpp_lib_debugging|debugging
__cpp_lib_destroying_delete|new
__cpp_lib_enable_shared_from_this|memory
__cpp_lib_endian|bit
__cpp_lib_erase_if|string,deque,forward_list,list,vector,map,set,unordered_map,unordered_set
__cpp_lib_exception_ptr_cast|exception
__cpp_lib_exchange_function|utility
__cpp_lib_execution|execution
__cpp_lib_expected|expected
__cpp_lib_flat_map|flat_map
__cpp_lib_flat_set|flat_set
__cpp_lib_format_ranges|format
__cpp_lib_format_uchar|format
__cpp_lib_forward_like|utility
__cpp_lib_freestanding_charconv|charconv
__cpp_lib_fstream_native_handle|fstream
__cpp_lib_freestanding_cstdlib|cstdlib,cmath
__cpp_lib_freestanding_errc|cerrno,system_error
__cpp_lib_freestanding_functional|functional
__cpp_lib_freestanding_iterator|iterator
__cpp_lib_freestanding_memory|memory
__cpp_lib_freestanding_numeric|numeric
__cpp_lib_freestanding_ranges|ranges
__cpp_lib_freestanding_ratio|ratio
__cpp_lib_freestanding_tuple|tuple
__cpp_lib_freestanding_utility|utility
__cpp_lib_function_ref|functional
__cpp_lib_gcd_lcm|numeric
__cpp_lib_generator|generator
__cpp_lib_generic_associative_lookup|map,set
__cpp_lib_generic_unordered_lookup|unordered_map,unordered_set
__cpp_lib_hardware_interference_size|new
__cpp_lib_has_unique_object_representations|type_traits
__cpp_lib_hypot|cmath
__cpp_lib_incomplete_container_elements|forward_list,list,vector
__cpp_lib_indirect|memory
__cpp_lib_initializer_list|initializer_list
__cpp_lib_inplace_vector|inplace_vector
__cpp_lib_int_pow2|bit
__cpp_lib_integer_comparison_functions|utility
__cpp_lib_integer_sequence|utility
__cpp_lib_integral_constant_callable|type_traits
__cpp_lib_interpolate|cmath,numeric
__cpp_lib_invoke_r|functional
__cpp_lib_invoke|functional
__cpp_lib_ios_noreplace|ios
__cpp_lib_is_aggregate|type_traits
__cpp_lib_is_constant_evaluated|type_traits
__cpp_lib_is_final|type_traits
__cpp_lib_is_invocable|type_traits
__cpp_lib_is_layout_compatible|type_traits
__cpp_lib_is_nothrow_convertible|type_traits
__cpp_lib_is_null_pointer|type_traits
__cpp_lib_is_pointer_interconvertible|type_traits
__cpp_lib_is_scoped_enum|type_traits
__cpp_lib_is_sufficiently_aligned|memory
__cpp_lib_is_swappable|type_traits
__cpp_lib_is_virtual_base_of|type_traits
__cpp_lib_jthread|stop_token,thread
__cpp_lib_latch|latch
__cpp_lib_launder|new
__cpp_lib_list_remove_return_type|forward_list,list
__cpp_lib_logical_traits|type_traits
__cpp_lib_make_from_tuple|tuple
__cpp_lib_make_obj_using_allocator|memory
__cpp_lib_make_reverse_iterator|iterator
__cpp_lib_make_unique|memory
__cpp_lib_map_try_emplace|map
__cpp_lib_math_constants|numbers
__cpp_lib_math_special_functions|cmath
__cpp_lib_mdspan|mdspan
__cpp_lib_memory_resource|memory_resource
__cpp_lib_move_iterator_concept|iterator
__cpp_lib_move_only_function|functional
__cpp_lib_node_extract|map,set,unordered_map,unordered_set
__cpp_lib_nonmember_container_access|array,deque,forward_list,iterator,list,map,regex,set,string,unordered_map,unordered_set,vector
__cpp_lib_not_fn|functional
__cpp_lib_null_iterators|iterator
__cpp_lib_optional_range_support|optional
__cpp_lib_optional|optional
__cpp_lib_out_ptr|memory
__cpp_lib_parallel_algorithm|algorithm,numeric
__cpp_lib_philox_engine|random
__cpp_lib_polymorphic|memory
__cpp_lib_polymorphic_allocator|memory_resource
__cpp_lib_print|print,ostream
__cpp_lib_quoted_string_io|iomanip
__cpp_lib_ranges_as_const|ranges
__cpp_lib_ranges_as_input|ranges
__cpp_lib_ranges_as_rvalue|ranges
__cpp_lib_ranges_cache_latest|ranges
__cpp_lib_ranges_cartesian_product|ranges
__cpp_lib_ranges_chunk_by|ranges
__cpp_lib_ranges_chunk|ranges
__cpp_lib_ranges_concat|ranges
__cpp_lib_ranges_contains|algorithm
__cpp_lib_ranges_enumerate|ranges
__cpp_lib_ranges_find_last|algorithm
__cpp_lib_ranges_fold|algorithm
__cpp_lib_ranges_generate_random|random
__cpp_lib_ranges_indices|ranges
__cpp_lib_ranges_iota|numeric
__cpp_lib_ranges_join_with|ranges
__cpp_lib_ranges_repeat|ranges
__cpp_lib_ranges_reserve_hint|ranges
__cpp_lib_ranges_slide|ranges
__cpp_lib_ranges_starts_ends_with|algorithm
__cpp_lib_ranges_stride|ranges
__cpp_lib_ranges_to_container|ranges
__cpp_lib_ranges_zip|ranges,tuple,utility
__cpp_lib_ratio|ratio
__cpp_lib_raw_memory_algorithms|memory
__cpp_lib_reference_from_temporary|type_traits
__cpp_lib_reference_wrapper|functional
__cpp_lib_remove_cvref|type_traits
__cpp_lib_robust_nonmodifying_seq_ops|algorithm
__cpp_lib_sample|algorithm
__cpp_lib_saturation_arithmetic|numeric
__cpp_lib_scoped_lock|mutex
__cpp_lib_semaphore|semaphore
__cpp_lib_shared_mutex|shared_mutex
__cpp_lib_shared_ptr_arrays|memory
__cpp_lib_shared_ptr_weak_type|memory
__cpp_lib_shared_timed_mutex|shared_mutex
__cpp_lib_shift|algorithm
__cpp_lib_smart_ptr_for_overwrite|memory
__cpp_lib_smart_ptr_owner_equality|memory
__cpp_lib_source_location|source_location
__cpp_lib_spans|span
__cpp_lib_span|span
__cpp_lib_spanstream|spanstream
__cpp_lib_ssize|iterator
__cpp_lib_sstream_from_string_view|sstream
__cpp_lib_stacktrace|stacktrace
__cpp_lib_start_lifetime_as|memory
__cpp_lib_starts_ends_with|string,string_view
__cpp_lib_stdatomic_h|stdatomic.h
__cpp_lib_stdbit_h|stdbit.h
__cpp_lib_stdckdint_h|stdckdint.h
__cpp_lib_string_contains|string,string_view
__cpp_lib_string_resize_and_overwrite|string
__cpp_lib_string_subview|string,string_view
__cpp_lib_string_udls|string
__cpp_lib_submdspan|mdspan
__cpp_lib_string_view|string,string_view
__cpp_lib_syncbuf|iosfwd,syncstream
__cpp_lib_three_way_comparison|compare
__cpp_lib_to_address|memory
__cpp_lib_to_array|array
__cpp_lib_to_chars|charconv
__cpp_lib_to_string|string
__cpp_lib_to_underlying|utility
__cpp_lib_transformation_trait_aliases|type_traits
__cpp_lib_transparent_operators|memory,functional
__cpp_lib_tuple_element_t|tuple
__cpp_lib_tuple_like|utility,tuple,map,unordered_map,complex
__cpp_lib_tuples_by_type|utility,tuple
__cpp_lib_type_identity|type_traits
__cpp_lib_type_trait_variable_templates|type_traits
__cpp_lib_uncaught_exceptions|exception
__cpp_lib_unordered_map_try_emplace|unordered_map
__cpp_lib_unreachable|utility
__cpp_lib_unwrap_ref|type_traits
__cpp_lib_variant|variant
__cpp_lib_void_t|type_traits
